Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.31'',Longitud :,78°11'19.1'',Altitud :,632 msnm.
Tipo :,HLG - Hidrológica,Código :,221506
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-01-01,1.45,1.44,1.43,1.44,1.44
2020-01-02,1.57,1.80,1.76,1.65,1.70
2020-01-03,1.50,1.48,1.45,1.41,1.46
2020-01-04,1.36,1.34,1.32,1.31,1.33
2020-01-05,1.29,1.28,1.27,1.26,1.28
2020-01-06,1.25,1.25,1.24,1.24,1.25
2020-01-07,1.23,1.22,1.22,1.22,1.22
2020-01-08,1.20,1.20,1.21,1.21,1.21
2020-01-09,1.20,1.19,1.19,1.19,1.19
2020-01-10,1.18,1.18,1.17,1.17,1.18
2020-01-11,1.16,1.16,1.16,1.15,1.16
2020-01-12,1.15,1.15,1.15,1.17,1.16
2020-01-13,1.17,1.17,1.25,1.27,1.22
2020-01-14,1.29,1.25,1.22,1.21,1.24
2020-01-15,1.22,1.22,1.22,1.25,1.23
2020-01-16,1.21,1.20,1.19,1.18,1.20
2020-01-17,1.18,1.18,1.18,1.17,1.18
2020-01-18,1.16,1.16,1.17,1.18,1.17
2020-01-19,1.20,1.20,1.19,1.18,1.19
2020-01-20,1.15,1.15,1.15,1.14,1.15
2020-01-21,1.20,1.19,1.18,1.18,1.19
2020-01-22,1.15,1.15,1.14,1.13,1.14
2020-01-23,1.13,1.12,1.12,1.12,1.12
2020-01-24,1.11,1.11,1.11,1.11,1.11
2020-01-25,1.12,1.13,1.15,1.26,1.17
2020-01-26,1.72,2.00,1.86,1.65,1.81
2020-01-27,1.40,1.37,1.33,1.31,1.35
2020-01-28,1.27,1.26,1.25,1.23,1.25
2020-01-29,1.21,1.20,1.19,1.19,1.20
2020-01-30,1.18,1.18,1.17,1.17,1.18
2020-01-31,1.16,1.16,1.16,1.19,1.17
