Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : ANGAMOS
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,YAQUERANA
Latitud :,5°9'4.24'',Longitud :,72°52'30.79'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,240401
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-11-01,8.10,8.13,8.15,8.19,8.14
2023-11-02,8.20,8.18,8.16,8.14,8.17
2023-11-03,8.12,8.09,8.05,8.02,8.07
2023-11-04,7.98,8.20,8.45,8.60,8.31
2023-11-05,8.70,8.80,8.95,9.10,8.89
2023-11-06,9.15,9.30,9.50,9.90,9.46
2023-11-07,10.20,10.50,10.80,11.10,10.65
2023-11-08,11.50,11.80,11.95,12.20,11.86
2023-11-09,12.40,12.80,12.98,13.10,12.82
2023-11-10,13.50,13.60,13.70,13.80,13.65
2023-11-11,13.90,13.88,13.86,13.89,13.88
2023-11-12,13.80,13.75,13.73,13.70,13.75
2023-11-13,13.70,13.60,13.50,13.40,13.55
2023-11-14,13.30,13.20,13.10,13.00,13.15
2023-11-15,12.95,12.95,12.95,12.95,12.95
2023-11-16,12.95,12.93,12.91,12.89,12.92
2023-11-17,12.86,12.83,12.80,12.76,12.81
2023-11-18,12.70,12.60,12.50,12.40,12.55
2023-11-19,12.35,12.30,12.25,12.20,12.28
2023-11-20,12.10,12.00,11.90,11.70,11.93
2023-11-21,11.50,11.30,11.10,10.95,11.21
2023-11-22,10.70,10.68,10.65,10.63,10.67
2023-11-23,10.60,10.56,10.52,10.47,10.54
2023-11-24,10.40,10.30,10.20,10.10,10.25
2023-11-25,10.00,9.95,9.90,9.85,9.93
2023-11-26,9.80,9.75,9.70,9.65,9.73
2023-11-27,9.60,9.60,9.60,9.54,9.59
2023-11-28,9.46,9.40,9.35,9.30,9.38
2023-11-29,9.20,9.60,9.90,10.15,9.71
2023-11-30,10.50,11.20,11.70,11.95,11.34
