Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : EL ESTRECHO
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
Latitud :,2°27'10.67'',Longitud :,72°40'52.42'',Altitud :,105 msnm.
Tipo :,HLM - Hidrológica,Código :,240402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2016-12-01,5.36,5.36,5.40,5.44,5.39
2016-12-02,5.50,5.52,5.55,5.55,5.53
2016-12-03,5.68,5.70,5.71,5.72,5.70
2016-12-04,5.80,5.82,5.82,5.84,5.82
2016-12-05,6.10,6.10,6.12,6.12,6.11
2016-12-06,6.25,6.28,6.30,6.30,6.28
2016-12-07,6.40,6.42,6.42,6.44,6.42
2016-12-08,6.52,6.55,6.57,6.58,6.56
2016-12-09,6.68,6.70,6.71,6.72,6.70
2016-12-10,6.79,6.80,6.82,6.82,6.81
2016-12-11,7.42,7.44,7.46,7.47,7.45
2016-12-12,8.22,8.24,8.25,8.25,8.24
2016-12-13,8.39,8.41,8.42,8.44,8.42
2016-12-14,8.47,8.48,8.50,8.51,8.49
2016-12-15,8.55,8.55,8.56,8.56,8.56
2016-12-16,8.48,8.46,8.46,8.45,8.46
2016-12-17,8.15,8.14,8.12,8.10,8.13
2016-12-18,7.96,7.93,7.91,7.90,7.93
2016-12-19,7.85,7.84,7.82,7.82,7.83
2016-12-20,7.57,7.59,7.60,7.60,7.59
2016-12-21,7.50,7.47,7.46,7.45,7.47
2016-12-22,7.08,7.05,7.03,7.00,7.04
2016-12-23,6.94,6.91,6.90,6.90,6.91
2016-12-24,6.87,6.86,6.86,6.84,6.86
2016-12-25,6.83,6.82,6.80,6.79,6.81
2016-12-26,6.76,6.76,6.75,6.75,6.76
2016-12-27,6.64,6.64,6.66,6.66,6.65
2016-12-28,6.28,6.28,6.30,6.30,6.29
2016-12-29,6.16,6.12,6.10,6.10,6.12
2016-12-30,6.04,6.00,6.00,6.00,6.01
2016-12-31,5.90,5.88,5.87,5.87,5.88
