Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA ROSA
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,YAVARI
Latitud :,4°13'34.88'',Longitud :,69°57'22.63'',Altitud :,62 msnm.
Tipo :,PLU - Meteorológica,Código :,104010
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-09-01,,,,0.0
2022-09-02,,,,0.0
2022-09-03,,,,7.1
2022-09-04,,,,0.0
2022-09-05,,,,0.0
2022-09-06,,,,0.0
2022-09-07,,,,0.0
2022-09-08,,,,6.0
2022-09-09,,,,9.0
2022-09-10,,,,39.0
2022-09-11,,,,0.0
2022-09-12,,,,0.0
2022-09-13,,,,0.0
2022-09-14,,,,0.0
2022-09-15,,,,24.3
2022-09-16,,,,0.0
2022-09-17,,,,0.0
2022-09-18,,,,0.0
2022-09-19,,,,0.0
2022-09-20,,,,0.0
2022-09-21,,,,0.0
2022-09-22,,,,0.0
2022-09-23,,,,52.1
2022-09-24,,,,0.0
2022-09-25,,,,0.0
2022-09-26,,,,0.0
2022-09-27,,,,0.0
2022-09-28,,,,0.0
2022-09-29,,,,32.2
2022-09-30,,,,0.0
