Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : LA LIBERTAD
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-02-01,1.38,1.45,1.51,1.56,1.48
2025-02-02,1.70,1.76,1.80,1.85,1.78
2025-02-03,1.90,1.94,1.98,2.05,1.97
2025-02-04,2.12,2.17,2.22,2.27,2.20
2025-02-05,2.39,2.43,2.47,2.49,2.45
2025-02-06,2.50,2.54,2.57,2.58,2.55
2025-02-07,2.58,2.58,2.60,2.60,2.59
2025-02-08,2.62,2.62,2.62,2.61,2.62
2025-02-09,2.57,2.55,2.52,2.50,2.54
2025-02-10,2.39,2.37,2.34,2.31,2.35
2025-02-11,2.22,2.20,2.19,2.19,2.20
2025-02-12,2.23,2.27,2.30,2.34,2.29
2025-02-13,2.41,2.46,2.52,2.60,2.50
2025-02-14,2.66,2.66,2.65,2.50,2.62
2025-02-15,2.59,2.58,2.56,2.55,2.57
2025-02-16,2.51,2.51,2.51,2.52,2.51
2025-02-17,2.57,2.58,2.60,2.62,2.59
2025-02-18,2.59,2.58,2.56,2.54,2.57
2025-02-19,2.41,2.41,2.41,2.43,2.42
2025-02-20,2.55,2.61,2.67,2.74,2.64
2025-02-21,2.87,2.90,2.92,2.93,2.91
2025-02-22,3.34,3.39,3.44,3.51,3.42
2025-02-23,4.14,4.20,4.26,4.31,4.23
2025-02-24,4.50,4.54,4.58,4.62,4.56
2025-02-25,4.72,4.76,4.76,4.78,4.76
2025-02-26,4.85,4.87,4.88,4.90,4.88
2025-02-27,4.98,5.03,5.06,5.09,5.04
2025-02-28,5.32,5.34,5.37,5.38,5.35
