Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN RAMON
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,YURIMAGUAS
Latitud :,5°56'8.13'',Longitud :,76°7'5.27'',Altitud :,142 msnm.
Tipo :,CP - Meteorológica,Código :,100128
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-05-01,S/D,S/D,S/D,S/D
2020-05-02,S/D,S/D,S/D,S/D
2020-05-03,S/D,S/D,S/D,S/D
2020-05-04,S/D,S/D,S/D,S/D
2020-05-05,S/D,S/D,S/D,S/D
2020-05-06,S/D,S/D,S/D,S/D
2020-05-07,S/D,S/D,S/D,S/D
2020-05-08,S/D,S/D,S/D,S/D
2020-05-09,S/D,S/D,S/D,S/D
2020-05-10,S/D,S/D,S/D,S/D
2020-05-11,S/D,S/D,S/D,S/D
2020-05-12,S/D,S/D,S/D,S/D
2020-05-13,S/D,S/D,S/D,S/D
2020-05-14,S/D,S/D,S/D,S/D
2020-05-15,S/D,S/D,S/D,S/D
2020-05-16,S/D,S/D,S/D,S/D
2020-05-17,S/D,S/D,S/D,S/D
2020-05-18,S/D,S/D,S/D,S/D
2020-05-19,S/D,S/D,S/D,S/D
2020-05-20,S/D,S/D,S/D,S/D
2020-05-21,S/D,S/D,S/D,S/D
2020-05-22,S/D,S/D,S/D,S/D
2020-05-23,S/D,S/D,S/D,S/D
2020-05-24,S/D,S/D,S/D,S/D
2020-05-25,S/D,S/D,S/D,S/D
2020-05-26,S/D,S/D,S/D,S/D
2020-05-27,S/D,S/D,S/D,S/D
2020-05-28,S/D,S/D,S/D,S/D
2020-05-29,S/D,S/D,S/D,S/D
2020-05-30,S/D,S/D,S/D,S/D
2020-05-31,S/D,S/D,S/D,S/D
