Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BAGAZAN
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,SAQUENA
Latitud :,4°43'26.46'',Longitud :,73°31'55.66'',Altitud :,100 msnm.
Tipo :,PE - Meteorológica,Código :,104067
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-10-01,S/D,S/D,S/D,S/D
2023-10-02,S/D,S/D,92.8,3.9
2023-10-03,S/D,S/D,91.9,0.0
2023-10-04,S/D,S/D,92.2,0.0
2023-10-05,S/D,S/D,91.8,0.0
2023-10-06,S/D,S/D,94.1,0.0
2023-10-07,S/D,S/D,91.8,S/D
2023-10-08,S/D,S/D,S/D,S/D
2023-10-09,S/D,S/D,92.1,0.0
2023-10-10,S/D,S/D,92.5,0.0
2023-10-11,S/D,S/D,93.0,0.0
2023-10-12,S/D,S/D,92.5,7.2
2023-10-13,S/D,S/D,92.8,0.0
2023-10-14,S/D,S/D,90.6,S/D
2023-10-15,S/D,S/D,S/D,S/D
2023-10-16,S/D,S/D,92.4,0.0
2023-10-17,S/D,S/D,90.4,0.0
2023-10-18,S/D,S/D,92.0,8.5
2023-10-19,S/D,S/D,91.4,0.0
2023-10-20,S/D,S/D,91.7,28.7
2023-10-21,S/D,S/D,93.5,S/D
2023-10-22,S/D,S/D,S/D,S/D
2023-10-23,S/D,S/D,91.0,0.0
2023-10-24,S/D,S/D,92.8,0.0
2023-10-25,S/D,S/D,91.3,0.0
2023-10-26,S/D,S/D,S/D,0.0
2023-10-27,S/D,S/D,92.1,5.2
2023-10-28,S/D,S/D,91.3,S/D
2023-10-29,S/D,S/D,S/D,S/D
2023-10-30,S/D,S/D,92.5,0.0
2023-10-31,S/D,S/D,92.9,0.0
