Estación : CACHUELA
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°36'15.92'',Longitud :,69°10'58.94'',Altitud :,195 msnm.
Tipo :,EHMA - Hidrológica,Código :,260403
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/01/01,00:00,1.14,0.0
2025/01/01,01:00,1.14,0.0
2025/01/01,02:00,1.14,0.0
2025/01/01,03:00,1.13,0.0
2025/01/01,04:00,1.14,0.0
2025/01/01,05:00,1.13,0.0
2025/01/01,06:00,1.13,0.0
2025/01/01,07:00,1.13,0.0
2025/01/01,08:00,1.13,0.0
2025/01/01,09:00,1.14,0.0
2025/01/01,10:00,1.13,0.0
2025/01/01,11:00,1.14,0.0
2025/01/01,12:00,1.13,0.0
2025/01/01,13:00,1.14,0.0
2025/01/01,14:00,1.13,0.0
2025/01/01,15:00,1.12,0.2
2025/01/01
