Estación : SANTO TOMAS PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'34.04'',Longitud :,73°15'22.49'',Altitud :,86 msnm.
Tipo :,HLM - Hidrológica,Código :,240304
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-08-01,11.46,11.46,11.44,11.44,11.45
2020-08-02,11.42,11.42,11.42,11.42,11.42
2020-08-03,11.40,11.38,11.38,11.36,11.38
2020-08-04,11.34,11.34,11.34,11.34,11.34
2020-08-05,11.36,11.38,11.38,11.40,11.38
2020-08-06,11.42,11.42,11.40,11.40,11.41
2020-08-07,11.38,11.36,11.30,11.28,11.33
2020-08-08,11.20,11.16,11.12,11.08,11.14
2020-08-09,10.96,10.92,10.88,10.84,10.90
2020-08-10,10.78,10.76,10.76,10.74,10.76
2020-08-11,10.70,10.66,10.62,10.58,10.64
2020-08-12,10.48,10.44,10.40,10.36,10.42
2020-08-13,10.28,10.24,10.20,10.16,10.22
2020-08-14,10.08,10.06,10.06,10.04,10.06
2020-08-15,10.02,9.94,9.90,9.86,9.93
2020-08-16,9.76,9.72,9.72,9.68,9.72
2020-08-17,9.62,9.60,9.58,9.56,9.59
