Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : REQUENA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
Latitud :,5°2'28.12'',Longitud :,73°50'24.05'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,250101
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-09-01,1.40,1.39,1.39,1.38,1.39
2024-09-02,1.36,1.35,1.34,1.33,1.35
2024-09-03,1.30,1.30,1.29,1.28,1.29
2024-09-04,1.26,1.25,1.24,1.23,1.25
2024-09-05,1.20,1.20,1.19,1.19,1.20
2024-09-06,1.19,1.18,1.18,1.17,1.18
2024-09-07,1.15,1.15,1.15,1.14,1.15
2024-09-08,1.13,1.13,1.13,1.13,1.13
2024-09-09,1.12,1.11,1.11,1.11,1.11
2024-09-10,1.10,1.10,1.10,1.09,1.10
2024-09-11,1.07,1.06,1.06,1.06,1.06
2024-09-12,1.03,1.03,1.02,1.01,1.02
2024-09-13,1.01,1.01,1.01,1.01,1.01
2024-09-14,1.00,1.00,1.00,1.00,1.00
2024-09-15,0.99,0.99,0.99,0.99,0.99
2024-09-16,0.98,0.98,0.98,0.98,0.98
2024-09-17,0.98,0.98,0.98,0.98,0.98
2024-09-18,0.99,0.99,0.99,0.99,0.99
2024-09-19,0.99,0.99,0.99,0.99,0.99
2024-09-20,0.99,0.99,0.99,0.99,0.99
2024-09-21,0.98,0.98,0.99,1.00,0.99
2024-09-22,1.00,1.00,1.00,1.00,1.00
2024-09-23,1.00,1.00,1.01,1.01,1.01
2024-09-24,1.01,1.01,1.01,1.01,1.01
2024-09-25,1.01,1.01,1.01,1.01,1.01
2024-09-26,1.00,1.00,1.00,1.00,1.00
2024-09-27,1.02,1.02,1.02,1.02,1.02
2024-09-28,1.03,1.03,1.03,1.03,1.03
2024-09-29,1.02,1.02,1.00,1.01,1.01
2024-09-30,0.99,0.98,0.98,0.97,0.98
