Estación : AMAZONAS
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,BELEN
Latitud :,3°45'50.29'',Longitud :,73°15'17.71'',Altitud :,106 msnm.
Tipo :,EMA - Meteorológica,Código :,103065
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/03/01,00:00,27.5,S/D,84,S/D,S/D
2026/03/01,01:00,27.2,S/D,85,S/D,S/D
2026/03/01,02:00,26.5,S/D,87,S/D,S/D
2026/03/01,03:00,25.6,S/D,90,S/D,S/D
2026/03/01,04:00,25.2,S/D,91,S/D,S/D
2026/03/01,05:00,25.0,S/D,92,S/D,S/D
2026/03/01,06:00,24.8,S/D,94,S/D,S/D
2026/03/01,07:00,25.0,S/D,95,S/D,S/D
2026/03/01,08:00,26.2,S/D,90,S/D,S/D
2026/03/01,09:00,28.4,S/D,77,S/D,S/D
2026/03/01,10:00,30.1,S/D,72,S/D,S/D
2026/03/01,11:00,31.5,S/D,68,S/D,S/D
2026/03/01,12:00,32.6,S/D,64,S/D,S/D
2026/03/01,13:00,33.6,S/D,58,S/D,S/D
2026/03/01,14:00,34.3,S/D,55,S/D,S/D
2026/03/01,15:00,34.8,S/D,54,S/D,S/D
2026/03/01,16:00,29.7,S/D,68,S/D,S/D
2026/03/01,17:00,27.4,S/D,76,S/D,S/D
2026/03/01,18:00,27.1,S/D,77,S/D,S/D
2026/03/01,19:00,26.1,S/D,87,S/D,S/D
2026/03/01,20:00,26.0,S/D,88,S/D,S/D
2026/03/01,21:00,25.7,S/D,90,S/D,S/D
2026/03/01,22:00,25.4,S/D,91,S/D,S/D
2026/03/01,23:00,25.0,S/D,92,S/D,S/D
2026/03/02,00:00,24.8,S/D,93,S/D,S/D
2026/03/02,01:00,24.6,S/D,94,S/D,S/D
2026/03/02,02:00,24.3,S/D,95,S/D,S/D
2026/03/02,03:00,24.4,S/D,94,S/D,S/D
2026/03/02,04:00,24.0,S/D,95,S/D,S/D
2026/03/02,05:00,23.7,S/D,96,S/D,S/D
2026/03/02,06:00,23.5,S/D,96,S/D,S/D
2026/03/02,07:00,23.7,S/D,95,S/D,S/D
2026/03/02,08:00,24.5,S/D,92,S/D,S/D
2026/03/02,09:00,25.4,S/D,88,S/D,S/D
2026/03/02,10:00,27.0,S/D,82,S/D,S/D
2026/03/02,11:00,28.1,S/D,81,S/D,S/D
2026/03/02,12:00,28.2,S/D,80,S/D,S/D
2026/03/02,13:00,29.6,S/D,72,S/D,S/D
2026/03/02,14:00,30.2,S/D,68,S/D,S/D
2026/03/02,15:00,30.9,S/D,66,S/D,S/D
2026/03/02,16:00,32.2,S/D,61,S/D,S/D
2026/03/02,17:00,28.9,S/D,75,S/D,S/D
2026/03/02,18:00,26.6,S/D,83,S/D,S/D
2026/03/02,19:00,25.2,S/D,83,S/D,S/D
2026/03/02,20:00,25.4,S/D,84,S/D,S/D
2026/03/02,21:00,25.1,S/D,86,S/D,S/D
2026/03/02,22:00,24.5,S/D,90,S/D,S/D
2026/03/02,23:00,24.2,S/D,92,S/D,S/D
2026/03/03,00:00,24.2,S/D,94,S/D,S/D
2026/03/03,01:00,24.1,S/D,95,S/D,S/D
2026/03/03,02:00,23.9,S/D,96,S/D,S/D
2026/03/03,03:00,24.1,S/D,95,S/D,S/D
2026/03/03,04:00,24.2,S/D,94,S/D,S/D
2026/03/03,05:00,23.9,S/D,95,S/D,S/D
2026/03/03,06:00,23.7,S/D,96,S/D,S/D
2026/03/03,07:00,23.9,S/D,95,S/D,S/D
2026/03/03,08:00,25.0,S/D,90,S/D,S/D
2026/03/03,09:00,25.9,S/D,86,S/D,S/D
2026/03/03,10:00,26.7,S/D,83,S/D,S/D
2026/03/03,11:00,28.8,S/D,73,S/D,S/D
2026/03/03,12:00,29.7,S/D,71,S/D,S/D
2026/03/03,13:00,31.0,S/D,67,S/D,S/D
2026/03/03,14:00,32.2,S/D,62,S/D,S/D
2026/03/03,15:00,31.6,S/D,64,S/D,S/D
2026/03/03,16:00,31.9,S/D,65,S/D,S/D
2026/03/03,17:00,30.9,S/D,69,S/D,S/D
2026/03/03,18:00,29.3,S/D,69,S/D,S/D
2026/03/03,19:00,26.7,S/D,78,S/D,S/D
2026/03/03,20:00,26.0,S/D,83,S/D,S/D
2026/03/03,21:00,25.8,S/D,83,S/D,S/D
2026/03/03,22:00,25.6,S/D,87,S/D,S/D
2026/03/03,23:00,25.9,S/D,82,S/D,S/D
2026/03/04,00:00,25.8,S/D,79,S/D,S/D
2026/03/04,01:00,25.3,S/D,83,S/D,S/D
2026/03/04,02:00,24.6,S/D,89,S/D,S/D
2026/03/04,03:00,24.3,S/D,89,S/D,S/D
2026/03/04,04:00,24.0,S/D,90,S/D,S/D
2026/03/04,05:00,23.9,S/D,89,S/D,S/D
2026/03/04,06:00,23.8,S/D,89,S/D,S/D
2026/03/04,07:00,23.9,S/D,88,S/D,S/D
2026/03/04,08:00,24.2,S/D,87,S/D,S/D
2026/03/04,09:00,24.8,S/D,84,S/D,S/D
2026/03/04,10:00,24.6,S/D,86,S/D,S/D
2026/03/04,11:00,25.2,S/D,86,S/D,S/D
2026/03/04,12:00,26.9,S/D,78,S/D,S/D
2026/03/04,13:00,26.9,S/D,76,S/D,S/D
2026/03/04,14:00,27.6,S/D,72,S/D,S/D
2026/03/04,15:00,27.3,S/D,73,S/D,S/D
2026/03/04,16:00,27.5,S/D,73,S/D,S/D
2026/03/04,17:00,27.7,S/D,73,S/D,S/D
