Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-08-01,6.43,6.44,6.46,6.46,6.45
2020-08-02,6.35,6.36,6.33,6.30,6.34
2020-08-03,6.28,6.28,6.27,6.25,6.27
2020-08-04,6.36,6.37,6.38,6.38,6.37
2020-08-05,6.40,6.40,6.41,6.42,6.41
2020-08-06,6.50,6.51,6.45,6.44,6.48
2020-08-07,6.42,6.33,6.31,6.28,6.34
2020-08-08,6.04,6.03,6.02,5.99,6.02
2020-08-09,5.75,5.73,5.70,5.67,5.71
2020-08-10,5.45,5.43,5.37,5.34,5.40
2020-08-11,5.20,5.16,5.14,5.13,5.16
2020-08-12,5.05,5.01,4.97,4.97,5.00
2020-08-13,4.95,4.94,4.93,4.93,4.94
2020-08-14,4.75,4.72,4.70,4.68,4.71
2020-08-15,4.60,4.52,4.40,4.33,4.46
