Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2022-01-01,7.59,7.59,7.58,7.58,7.59
2022-01-02,7.57,7.57,7.56,7.56,7.57
2022-01-03,7.56,7.56,7.56,7.56,7.56
2022-01-04,7.56,7.55,7.55,7.55,7.55
2022-01-05,7.43,7.42,7.42,7.41,7.42
2022-01-06,7.23,7.22,7.21,7.19,7.21
2022-01-07,7.01,6.99,6.97,6.97,6.99
2022-01-08,6.72,6.70,6.61,6.59,6.66
2022-01-09,6.39,6.37,6.35,6.33,6.36
2022-01-10,6.01,5.98,5.95,5.79,5.93
2022-01-11,5.62,5.59,5.57,5.55,5.58
2022-01-12,5.34,5.31,5.28,5.25,5.30
2022-01-13,5.10,5.08,5.06,5.04,5.07
2022-01-14,4.89,4.86,4.83,4.80,4.85
2022-01-15,4.79,4.79,4.79,4.79,4.79
2022-01-16,4.45,4.43,4.41,4.41,4.43
2022-01-17,4.40,4.39,4.39,4.38,4.39
2022-01-18,4.37,4.37,4.36,4.36,4.37
2022-01-19,4.35,4.40,4.43,4.48,4.42
2022-01-20,4.70,4.73,4.76,4.79,4.75
2022-01-21,4.81,4.82,4.84,4.86,4.83
2022-01-22,4.88,4.89,4.89,4.90,4.89
2022-01-23,4.91,4.64,4.62,4.61,4.70
2022-01-24,4.60,4.55,4.54,4.53,4.56
2022-01-25,4.53,4.53,4.52,4.52,4.53
2022-01-26,4.68,4.69,4.70,4.72,4.70
2022-01-27,4.76,4.77,4.78,4.79,4.78
2022-01-28,4.89,4.91,4.92,4.94,4.92
2022-01-29,5.22,5.27,5.31,5.35,5.29
2022-01-30,5.82,5.88,5.93,5.99,5.91
2022-01-31,6.26,6.31,6.37,6.45,6.35
