Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BORJA
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,MANSERICHE
Latitud :,4°28'12'',Longitud :,77°32'52.8'',Altitud :,152 msnm.
Tipo :,HLM - Hidrológica,Código :,220107
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-03-01,7.12,7.12,7.15,7.15,7.14
2025-03-02,7.50,7.60,7.70,7.95,7.69
2025-03-03,8.12,8.10,8.08,8.08,8.10
2025-03-04,8.28,8.35,8.40,8.52,8.39
2025-03-05,8.72,8.70,8.68,8.65,8.69
2025-03-06,8.32,8.20,8.05,7.85,8.11
2025-03-07,7.38,7.25,7.20,7.10,7.23
2025-03-08,6.90,6.85,6.88,6.90,6.88
2025-03-09,7.25,7.18,7.15,7.10,7.17
2025-03-10,6.95,6.90,6.80,6.60,6.81
2025-03-11,6.32,6.40,6.55,6.65,6.48
2025-03-12,6.50,6.35,6.28,6.35,6.37
2025-03-13,6.45,6.32,6.20,6.05,6.26
2025-03-14,5.70,5.68,5.68,5.72,5.70
2025-03-15,6.18,6.35,6.55,6.90,6.50
2025-03-16,7.35,7.40,7.50,7.60,7.46
2025-03-17,7.30,7.20,7.15,6.95,7.15
2025-03-18,6.55,6.42,6.45,6.45,6.47
2025-03-19,6.52,6.65,6.75,6.90,6.71
2025-03-20,7.85,7.95,7.95,7.90,7.91
2025-03-21,7.52,7.42,7.32,7.15,7.35
2025-03-22,6.98,6.95,6.92,6.94,6.95
2025-03-23,6.95,6.98,6.98,7.02,6.98
2025-03-24,7.20,7.25,7.30,7.35,7.28
2025-03-25,7.38,7.35,7.20,7.12,7.26
2025-03-26,6.68,6.45,6.30,6.15,6.40
2025-03-27,5.80,5.65,5.55,5.52,5.63
2025-03-28,5.92,5.98,6.08,6.05,6.01
2025-03-29,6.15,6.18,6.18,6.14,6.16
2025-03-30,6.18,6.22,6.30,6.40,6.28
2025-03-31,6.55,6.52,6.50,6.48,6.51
