Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE INAMBARI
Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,HUEPETUHE
Latitud :,13°11'10.97'',Longitud :,70°23'2.44'',Altitud :,374 msnm.
Tipo :,HLM - Hidrológica,Código :,113251
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-07-01,9.10,9.10,9.00,9.10,9.08
2024-07-02,9.10,9.10,9.00,9.00,9.05
2024-07-03,9.00,9.00,9.00,9.00,9.00
2024-07-04,9.00,9.00,9.00,8.90,8.98
2024-07-05,8.90,8.90,8.90,8.90,8.90
2024-07-06,9.00,9.00,8.95,8.90,8.96
2024-07-07,8.90,8.90,8.90,8.90,8.90
2024-07-08,9.00,9.00,8.85,8.85,8.93
2024-07-09,9.00,9.00,8.90,8.90,8.95
2024-07-10,9.00,9.05,9.00,9.00,9.01
2024-07-11,9.00,9.00,8.95,8.95,8.98
2024-07-12,8.90,8.90,8.90,8.90,8.90
2024-07-13,9.00,9.00,9.00,9.00,9.00
2024-07-14,9.00,8.90,8.90,8.90,8.93
2024-07-15,9.00,9.00,9.00,9.00,9.00
2024-07-16,9.00,9.00,8.90,8.90,8.95
2024-07-17,8.90,8.90,8.90,8.90,8.90
2024-07-18,8.90,8.90,8.85,8.85,8.88
2024-07-19,8.85,8.85,8.80,8.80,8.83
2024-07-20,8.80,8.80,8.80,8.80,8.80
2024-07-21,8.80,8.80,8.80,8.80,8.80
2024-07-22,8.80,8.80,8.80,8.80,8.80
2024-07-23,8.75,8.75,8.70,8.70,8.73
2024-07-24,8.70,8.70,8.70,8.70,8.70
2024-07-25,8.70,8.70,8.70,8.70,8.70
2024-07-26,8.70,8.70,8.75,8.75,8.73
2024-07-27,8.85,8.85,8.80,8.80,8.83
2024-07-28,8.90,8.90,8.90,8.90,8.90
2024-07-29,9.00,9.00,9.00,9.10,9.03
2024-07-30,9.30,9.32,9.30,9.30,9.31
2024-07-31,9.10,9.10,9.00,9.00,9.05
