Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE INAMBARI
Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,HUEPETUHE
Latitud :,13°11'10.97'',Longitud :,70°23'2.44'',Altitud :,374 msnm.
Tipo :,HLM - Hidrológica,Código :,113251
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-05-01,9.40,9.40,9.50,9.50,9.45
2024-05-02,9.95,9.95,9.85,9.80,9.89
2024-05-03,9.50,9.50,9.40,9.40,9.45
2024-05-04,9.70,9.65,9.60,9.60,9.64
2024-05-05,9.80,9.80,9.45,9.40,9.61
2024-05-06,9.25,9.25,9.25,9.20,9.24
2024-05-07,9.18,9.18,9.15,9.15,9.17
2024-05-08,9.25,9.25,9.30,9.30,9.28
2024-05-09,9.35,9.35,9.30,9.25,9.31
2024-05-10,9.20,9.20,9.15,9.15,9.18
2024-05-11,9.20,9.20,9.15,9.15,9.18
2024-05-12,9.25,9.25,9.20,9.20,9.23
2024-05-13,9.30,9.25,9.25,9.20,9.25
2024-05-14,9.35,9.30,9.30,9.25,9.30
2024-05-15,9.60,9.60,9.40,9.35,9.49
2024-05-16,9.20,9.20,9.15,9.15,9.18
2024-05-17,9.18,9.18,9.15,9.15,9.17
2024-05-18,9.80,9.70,9.60,9.70,9.70
2024-05-19,10.10,10.00,11.00,11.10,10.55
2024-05-20,9.50,9.40,9.35,9.30,9.39
2024-05-21,9.20,9.20,9.15,9.15,9.18
2024-05-22,9.15,9.15,9.15,9.15,9.15
2024-05-23,9.20,9.20,9.15,9.15,9.18
2024-05-24,9.15,9.15,9.20,9.20,9.18
2024-05-25,10.10,10.05,10.00,10.00,10.04
2024-05-26,9.30,9.30,9.25,9.25,9.28
2024-05-27,9.20,9.20,9.20,9.15,9.19
2024-05-28,9.15,9.15,9.10,9.10,9.13
2024-05-29,9.10,9.10,9.10,9.10,9.10
2024-05-30,9.10,9.10,9.10,9.10,9.10
2024-05-31,9.15,9.15,9.10,9.10,9.13
