Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MORALILLO
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°53'58.8'',Longitud :,73°20'18'',Altitud :,106 msnm.
Tipo :,CP - Meteorológica,Código :,103023
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-02-01,S/D,S/D,S/D,0.0
2022-02-02,S/D,S/D,S/D,2.4
2022-02-03,S/D,S/D,S/D,2.9
2022-02-04,S/D,S/D,S/D,1.8
2022-02-05,S/D,S/D,S/D,7.5
2022-02-06,S/D,S/D,S/D,20.8
2022-02-07,S/D,S/D,S/D,41.8
2022-02-08,S/D,S/D,S/D,26.3
2022-02-09,S/D,S/D,S/D,0.0
2022-02-10,S/D,S/D,S/D,0.0
2022-02-11,S/D,S/D,S/D,4.9
2022-02-12,S/D,S/D,S/D,4.3
2022-02-13,S/D,S/D,S/D,3.9
2022-02-14,S/D,S/D,S/D,6.4
2022-02-15,S/D,S/D,S/D,5.9
2022-02-16,S/D,S/D,S/D,0.0
2022-02-17,S/D,S/D,S/D,0.0
2022-02-18,S/D,S/D,S/D,0.0
2022-02-19,S/D,S/D,S/D,0.0
2022-02-20,S/D,S/D,S/D,0.0
2022-02-21,S/D,S/D,S/D,0.0
2022-02-22,S/D,S/D,S/D,0.0
2022-02-23,S/D,S/D,S/D,7.7
2022-02-24,S/D,S/D,S/D,60.0
2022-02-25,S/D,S/D,S/D,13.6
2022-02-26,S/D,S/D,S/D,2.9
2022-02-27,S/D,S/D,S/D,0.0
2022-02-28,S/D,S/D,S/D,0.0
