Estación : PUERTO ESPERANZA
Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/01/01,00:00,23.8,S/D,98,142,0.0
2022/01/01,01:00,23.4,S/D,99,104,0.0
2022/01/01,02:00,23.5,S/D,99,58,0.2
2022/01/01,03:00,23.6,S/D,98,68,0.0
2022/01/01,04:00,23.3,S/D,98,101,0.0
2022/01/01,05:00,22.9,S/D,99,75,0.0
2022/01/01,06:00,23.1,S/D,99,92,0.0
2022/01/01,08:00,27.6,S/D,85,333,3.3
2022/01/01,09:00,29.8,S/D,76,324,2.5
2022/01/01,10:00,31.5,S/D,71,323,4.2
2022/01/01,11:00,32.3,S/D,68,308,3.6
2022/01/01,12:00,32.8,S/D,65,340,3.0
2022/01/01,13:00,32.8,S/D,65,319,3.1
2022/01/01,14:00,32.5,S/D,66,325,2.2
2022/01/01,15:00,33.3,S/D,63,303,3.3
2022/01/01,16:00,32.8,S/D,65,346,2.1
2022/01/01,17:00,32.3,S/D,65,308,1.8
2022/01/01,18:00,31.0,S/D,71,266,0.0
2022/01/01,20:00,26.5,S/D,95,162,0.0
2022/01/01,21:00,26.0,S/D,96,88,0.0
2022/01/01,22:00,25.4,S/D,97,105,0.0
2022/01/01,23:00,25.0,S/D,98,86,0.0
2022/01/02,00:00,24.8,S/D,97,44,0.0
2022/01/02,01:00,24.7,S/D,97,31,0.0
2022/01/02,02:00,24.5,S/D,97,28,0.2
2022/01/02,03:00,24.2,S/D,98,360,0.0
2022/01/02,04:00,24.1,S/D,98,336,0.0
2022/01/02,05:00,23.9,S/D,98,343,0.0
2022/01/02,06:00,24.2,S/D,98,30,0.0
2022/01/02,07:00,25.6,S/D,95,349,2.2
2022/01/02,08:00,27.3,S/D,88,345,3.1
2022/01/02,09:00,
