Estación : SANTA ANA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,8°29'51.47'',Longitud :,75°33'45.86'',Altitud :,235 msnm.
Tipo :,EMA - Meteorológica,Código :,47E8568A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/10/09,11:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,12:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,13:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,14:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,15:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,16:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,17:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,18:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,19:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,20:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,21:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,22:00,S/D,S/D,S/D,S/D,S/D
2019/10/09,23:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,00:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,01:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,02:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,03:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,04:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,05:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,06:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,07:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,08:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,09:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,10:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,11:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,12:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,13:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,14:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,15:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,16:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,17:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,18:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,19:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,20:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,21:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,22:00,S/D,S/D,S/D,S/D,S/D
2019/10/10,23:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,00:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,01:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,02:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,03:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,04:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,05:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,06:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,07:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,08:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,09:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,10:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,11:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,12:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,13:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,14:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,15:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,16:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,17:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,18:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,19:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,20:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,21:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,22:00,S/D,S/D,S/D,S/D,S/D
2019/10/11,23:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,00:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,01:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,02:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,03:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,04:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,05:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,06:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,07:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,08:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,09:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,10:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,11:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,12:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,13:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,14:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,15:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,16:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,17:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,18:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,19:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,20:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,21:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,22:00,S/D,S/D,S/D,S/D,S/D
2019/10/12,23:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,00:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,01:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,02:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,03:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,04:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,05:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,06:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,07:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,08:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,09:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,10:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,11:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,12:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,13:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,14:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,15:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,16:00,S/D,S/D,S/D,S/D,S/D
2019/10/13,17:00,S/D,S/D,S/D,S/D
