Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE ITAYA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,4°13'30.46'',Longitud :,73°28'57.03'',Altitud :,99 msnm.
Tipo :,HLM - Hidrológica,Código :,240502
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-11-01,7.19,7.25,7.35,7.45,7.31
2024-11-02,7.65,7.77,7.85,7.96,7.81
2024-11-03,8.10,8.15,8.26,8.33,8.21
2024-11-04,8.46,8.52,8.59,8.65,8.56
2024-11-05,8.75,8.77,8.80,8.82,8.79
2024-11-06,8.86,8.85,8.83,8.81,8.84
2024-11-07,8.78,8.77,8.75,8.73,8.76
2024-11-08,8.63,8.61,8.58,8.55,8.59
2024-11-09,8.42,8.37,8.29,8.21,8.32
2024-11-10,8.10,8.00,7.92,7.82,7.96
2024-11-11,7.75,7.65,7.52,7.43,7.59
2024-11-12,7.38,7.30,7.21,7.15,7.26
2024-11-13,7.07,7.04,6.94,6.91,6.99
2024-11-14,6.85,6.83,6.80,6.75,6.81
2024-11-15,6.66,6.64,6.62,6.60,6.63
2024-11-16,6.51,6.49,6.48,6.48,6.49
2024-11-17,6.46,6.47,6.49,6.50,6.48
2024-11-18,6.56,6.59,6.65,6.69,6.62
2024-11-19,6.82,6.80,6.77,6.75,6.79
2024-11-20,6.69,6.72,6.74,6.78,6.73
2024-11-21,6.87,6.85,6.83,6.80,6.84
2024-11-22,6.72,6.74,6.76,6.78,6.75
2024-11-23,6.80,6.85,6.92,7.10,6.92
2024-11-24,7.36,7.38,7.40,7.42,7.39
2024-11-25,7.51,7.61,7.75,7.82,7.67
2024-11-26,7.96,8.12,8.26,8.42,8.19
2024-11-27,8.72,8.80,8.85,8.97,8.84
2024-11-28,9.24,9.26,9.36,9.48,9.34
2024-11-29,9.73,9.81,9.90,10.00,9.86
2024-11-30,10.12,10.14,10.20,10.28,10.19
