Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE ITAYA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,4°13'30.46'',Longitud :,73°28'57.03'',Altitud :,99 msnm.
Tipo :,HLM - Hidrológica,Código :,240502
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-10-01,3.66,3.71,3.75,3.78,3.73
2024-10-02,3.89,3.87,3.84,3.83,3.86
2024-10-03,3.82,3.84,3.85,3.86,3.84
2024-10-04,3.87,3.85,3.81,3.81,3.84
2024-10-05,3.69,3.67,3.60,3.58,3.64
2024-10-06,3.57,3.58,3.58,3.58,3.58
2024-10-07,3.61,3.58,3.56,3.52,3.57
2024-10-08,3.48,3.46,3.44,3.42,3.45
2024-10-09,3.36,3.40,3.46,3.50,3.43
2024-10-10,3.55,3.62,3.68,3.78,3.66
2024-10-11,3.90,3.94,3.98,4.06,3.97
2024-10-12,4.22,4.35,4.55,4.68,4.45
2024-10-13,4.97,5.02,5.12,5.22,5.08
2024-10-14,5.37,5.39,5.41,5.43,5.40
2024-10-15,5.48,5.45,5.44,5.38,5.44
2024-10-16,5.33,5.25,5.15,5.10,5.21
2024-10-17,5.04,5.02,4.99,4.95,5.00
2024-10-18,4.91,4.87,4.75,4.70,4.81
2024-10-19,4.69,4.65,4.62,4.58,4.64
2024-10-20,4.52,4.48,4.45,4.43,4.47
2024-10-21,4.39,4.37,4.34,4.30,4.35
2024-10-22,4.24,4.22,4.19,4.15,4.20
2024-10-23,4.01,4.00,4.00,4.00,4.00
2024-10-24,4.01,4.02,4.02,4.03,4.02
2024-10-25,4.06,4.04,4.01,3.98,4.02
2024-10-26,4.92,4.95,5.00,5.12,5.00
2024-10-27,5.39,5.43,5.55,5.61,5.50
2024-10-28,5.70,5.72,5.74,5.76,5.73
2024-10-29,5.79,5.80,5.81,5.83,5.81
2024-10-30,5.86,5.95,6.16,6.35,6.08
2024-10-31,6.68,6.75,6.82,6.95,6.80
