Estación : CABALLOCOCHA
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,RAMON CASTILLA
Latitud :,3°54'40.42'',Longitud :,70°30'42.82'',Altitud :,75 msnm.
Tipo :,CO - Meteorológica,Código :,103031
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2018-01-01,32.2,22.6,89.8,15.6
2018-01-02,33.8,22.8,82.8,0.0
2018-01-03,35.4,23.2,78.0,0.0
2018-01-04,34.8,23.6,78.6,1.8
2018-01-05,35.2,22.2,83.5,3.8
2018-01-06,33.2,20.8,81.7,59.4
2018-01-07,28.4,21.8,94.6,1.2
2018-01-08,31.2,22.2,84.9,0.0
2018-01-09,30.4,22,88.1,0.0
2018-01-10,32.2,22.6,85.8,0.6
2018-01-11,31.2,22.8,85.0,0.0
2018-01-12,31.4,22.4,89.1,9.5
2018-01-13,31.2,21.6,88.7,26.0
2018-01-14,32.6,21.2,89.0,0.6
2018-01-15,29.8,21.8,90.1,63.7
2018-01-16,26.2,21,93.0,24.4
2018-01-17,29.4,21.4,89.0,0.0
2018-01-18,32.4,21.8,82.0,0.0
2018-01-19,29.8,22,90.3,30.4
2018-01-20,32.2,21.4,87.0,38.6
2018-01-21,27.4,22.2,92.6,36.2
2018-01-22,30.6,22,88.8,0.0
2018-01-23,31.4,22.6,88.6,0.0
2018-01-24,31,21.2,92.7,17.0
2018-01-25,30.6,20.8,89.2,17.7
2018-01-26,32.2,21.2,84.6,3.8
2018-01-27,31.2,21.6
