Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA MARIA DE NANAY
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,ALTO NANAY
Latitud :,3°53'20.61'',Longitud :,73°41'46.08'',Altitud :,94 msnm.
Tipo :,HLM - Hidrológica,Código :,240001
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-02-01,5.83,5.71,5.65,5.60,5.70
2020-02-02,5.52,5.49,5.42,5.36,5.45
2020-02-03,5.28,5.21,5.17,5.09,5.19
2020-02-04,5.07,5.07,5.09,5.10,5.08
2020-02-05,5.11,5.13,5.14,5.18,5.14
2020-02-06,5.22,5.25,5.26,5.30,5.26
2020-02-07,5.38,5.41,5.43,5.46,5.42
2020-02-08,5.50,5.56,5.60,5.63,5.57
2020-02-09,5.69,5.72,5.77,5.81,5.75
2020-02-10,5.83,5.84,5.86,5.88,5.85
2020-02-11,5.90,5.92,5.93,5.93,5.92
2020-02-12,5.89,5.82,5.80,5.78,5.82
2020-02-13,5.72,5.68,5.63,5.56,5.65
2020-02-14,5.51,5.47,5.43,5.42,5.46
2020-02-15,5.41,5.40,5.40,5.39,5.40
2020-02-16,5.37,5.36,5.36,5.38,5.37
2020-02-17,5.40,5.41,5.41,5.39,5.40
2020-02-18,5.37,5.35,5.32,5.29,5.33
2020-02-19,5.26,5.24,5.25,5.25,5.25
2020-02-20,5.29,5.32,5.35,5.38,5.34
2020-02-21,5.44,5.47,5.52,5.59,5.51
2020-02-22,5.63,5.66,5.69,5.72,5.68
2020-02-23,5.76,5.77,5.80,5.85,5.80
2020-02-24,5.90,5.92,5.98,6.17,5.99
2020-02-25,6.21,6.21,6.23,6.24,6.22
2020-02-26,6.25,6.25,6.22,6.19,6.23
2020-02-27,6.20,6.20,6.21,6.23,6.21
2020-02-28,6.24,6.26,6.30,6.33,6.28
2020-02-29,6.35,6.39,6.42,6.46,6.41
