Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUERTO ALMENDRA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°49'38.75'',Longitud :,73°22'38.68'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240302
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-01-01,9.55,9.56,9.58,9.60,9.57
2020-01-02,9.64,9.65,9.66,9.68,9.66
2020-01-03,9.71,9.73,9.75,9.77,9.74
2020-01-04,9.77,9.77,9.77,9.77,9.77
2020-01-05,9.77,9.76,9.76,9.75,9.76
2020-01-06,9.73,9.73,9.72,9.71,9.72
2020-01-07,9.69,9.68,9.67,9.66,9.68
2020-01-08,9.62,9.61,9.60,9.60,9.61
2020-01-09,9.55,9.55,9.56,9.56,9.56
2020-01-10,9.58,9.58,9.58,9.57,9.58
2020-01-11,9.54,9.51,9.48,9.45,9.50
2020-01-12,9.40,9.38,9.36,9.32,9.37
2020-01-13,9.27,9.23,9.21,9.17,9.22
2020-01-14,9.12,9.12,9.11,9.10,9.11
2020-01-15,9.05,9.02,8.97,8.96,9.00
2020-01-16,8.93,8.92,8.91,8.88,8.91
2020-01-17,8.84,8.80,8.76,8.72,8.78
2020-01-18,8.65,8.64,8.63,8.61,8.63
2020-01-19,8.55,8.54,8.53,8.53,8.54
2020-01-20,8.52,8.49,8.46,8.42,8.47
2020-01-21,8.36,8.34,8.31,8.30,8.33
2020-01-22,8.30,8.26,8.22,8.18,8.24
2020-01-23,8.13,8.11,8.10,8.08,8.11
2020-01-24,8.05,8.05,8.05,8.03,8.05
2020-01-25,8.03,8.03,8.02,8.02,8.03
2020-01-26,7.98,7.95,7.92,7.90,7.94
2020-01-27,7.88,7.86,7.84,7.84,7.86
2020-01-28,7.82,7.82,7.81,7.81,7.82
2020-01-29,7.79,7.77,7.74,7.73,7.76
2020-01-30,7.70,7.69,7.68,7.66,7.68
2020-01-31,7.64,7.61,7.57,7.54,7.59
