Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUERTO ALMENDRA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
Latitud :,3°49'38.75'',Longitud :,73°22'38.68'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240302
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-02-01,7.50,7.48,7.47,7.45,7.48
2020-02-02,7.40,7.39,7.37,7.35,7.38
2020-02-03,7.31,7.30,7.29,7.28,7.30
2020-02-04,7.26,7.25,7.23,7.22,7.24
2020-02-05,7.22,7.21,7.20,7.18,7.20
2020-02-06,7.24,7.24,7.25,7.26,7.25
2020-02-07,7.30,7.32,7.34,7.36,7.33
2020-02-08,7.36,7.37,7.39,7.39,7.38
2020-02-09,7.42,7.43,7.44,7.46,7.44
2020-02-10,7.50,7.52,7.54,7.56,7.53
2020-02-11,7.55,7.51,7.47,7.42,7.49
2020-02-12,7.36,7.34,7.33,7.32,7.34
2020-02-13,7.25,7.22,7.20,7.15,7.21
2020-02-14,7.10,7.07,7.04,7.02,7.06
2020-02-15,6.98,6.97,6.97,6.96,6.97
2020-02-16,6.80,6.97,6.75,6.74,6.82
2020-02-17,6.67,6.66,6.64,6.62,6.65
2020-02-18,6.55,6.54,6.52,6.51,6.53
2020-02-19,6.45,6.44,6.43,6.41,6.43
2020-02-20,6.42,6.43,6.46,6.50,6.45
2020-02-21,6.55,6.59,6.64,6.70,6.62
2020-02-22,6.80,6.85,6.90,6.96,6.88
2020-02-23,6.98,7.00,7.00,7.02,7.00
2020-02-24,7.02,7.02,7.03,7.04,7.03
2020-02-25,7.02,7.02,7.02,7.02,7.02
2020-02-26,6.96,6.97,6.98,6.98,6.97
2020-02-27,7.05,7.07,7.08,7.08,7.07
2020-02-28,7.15,7.14,7.15,7.16,7.15
2020-02-29,7.16,7.17,7.18,7.20,7.18
