Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : PEBAS
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
Latitud :,3°19'4.48'',Longitud :,71°51'34.63'',Altitud :,101 msnm.
Tipo :,EAMA - Meteorológica,Código :,47288486
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/04/01,00:00,S/D,S/D,S/D,241,0.7
2026/04/01,01:00,S/D,S/D,S/D,341,0.0
2026/04/01,02:00,S/D,S/D,S/D,47,0.0
2026/04/01,03:00,S/D,S/D,S/D,1,0.0
2026/04/01,04:00,S/D,S/D,S/D,42,0.0
2026/04/01,05:00,S/D,S/D,S/D,70,0.1
2026/04/01,06:00,S/D,S/D,S/D,127,0.2
2026/04/01,07:00,S/D,S/D,S/D,52,0.5
2026/04/01,08:00,S/D,S/D,S/D,104,0.9
2026/04/01,09:00,S/D,S/D,S/D,150,2.9
2026/04/01,10:00,S/D,S/D,S/D,150,4.0
2026/04/01,11:00,S/D,S/D,S/D,119,1.6
2026/04/01,12:00,S/D,S/D,S/D,165,3.9
2026/04/01,13:00,S/D,S/D,S/D,224,4.7
2026/04/01,14:00,S/D,S/D,S/D,65,0.9
2026/04/01,15:00,S/D,S/D,S/D,322,1.2
2026/04/01,16:00,S/D,S/D,S/D,54,0.2
2026/04/01,17:00,S/D,S/D,S/D,282,2.0
2026/04/01,18:00,S/D,S/D,S/D,67,0.2
2026/04/01,19:00,S/D,S/D,S/D,133,0.8
2026/04/01,20:00,S/D,S/D,S/D,201,1.4
2026/04/01,21:00,S/D,S/D,S/D,47,0.7
2026/04/01,22:00,S/D,S/D,S/D,225,0.6
2026/04/01,23:00,S/D,S/D,S/D,80,0.1
2026/04/02,00:00,S/D,S/D,S/D,119,2.1
2026/04/02,01:00,S/D,S/D,S/D,347,2.2
2026/04/02,02:00,S/D,S/D,S/D,316,1.7
2026/04/02,03:00,S/D,S/D,S/D,5,1.1
2026/04/02,04:00,S/D,S/D,S/D,277,1.2
2026/04/02,05:00,S/D,S/D,S/D,125,3.0
2026/04/02,06:00,S/D,S/D,S/D,66,0.5
2026/04/02,07:00,S/D,S/D,S/D,90,0.7
2026/04/02,08:00,S/D,S/D,S/D,353,1.2
2026/04/02,09:00,S/D,S/D,S/D,204,3.1
2026/04/02,10:00,S/D,S/D,S/D,122,0.4
2026/04/02,11:00,S/D,S/D,S/D,192,1.7
2026/04/02,12:00,S/D,S/D,S/D,117,2.0
2026/04/02,13:00,S/D,S/D,S/D,85,1.0
2026/04/02,14:00,S/D,S/D,S/D,151,2.8
2026/04/02,15:00,S/D,S/D,S/D,150,3.5
2026/04/02,16:00,S/D,S/D,S/D,144,2.7
2026/04/02,17:00,S/D,S/D,S/D,164,1.4
2026/04/02,18:00,S/D,S/D,S/D,271,2.1
2026/04/02,19:00,S/D,S/D,S/D,332,8.4
2026/04/02,20:00,S/D,S/D,S/D,306,3.2
2026/04/02,21:00,S/D,S/D,S/D,228,1.1
2026/04/02,22:00,S/D,S/D,S/D,173,2.9
2026/04/02,23:00,S/D,S/D,S/D,174,3.1
2026/04/03,00:00,S/D,S/D,S/D,18,1.8
2026/04/03,01:00,S/D,S/D,S/D,341,0.8
2026/04/03,02:00,S/D,S/D,S/D,34,0.0
2026/04/03,03:00,S/D,S/D,S/D,98,0.2
2026/04/03,04:00,S/D,S/D,S/D,331,2.0
2026/04/03,05:00,S/D,S/D,S/D,350,2.6
2026/04/03,06:00,S/D,S/D,S/D,15,1.0
2026/04/03,07:00,S/D,S/D,S/D,83,0.1
2026/04/03,08:00,S/D,S/D,S/D,51,0.9
2026/04/03,09:00,S/D,S/D,S/D,229,1.7
2026/04/03,10:00,S/D,S/D,S/D,146,2.9
2026/04/03,11:00,S/D,S/D,S/D,182,3.5
2026/04/03,12:00,S/D,S/D,S/D,152,3.8
2026/04/03,13:00,S/D,S/D,S/D,173,4.7
2026/04/03,14:00,S/D,S/D,S/D,130,2.1
2026/04/03,15:00,S/D,S/D,S/D,124,0.7
2026/04/03,16:00,S/D,S/D,S/D,182,1.8
2026/04/03,17:00,S/D,S/D,S/D,171,0.8
2026/04/03,18:00,S/D,S/D,S/D,70,0.0
2026/04/03,19:00,S/D,S/D,S/D,3,1.8
2026/04/03,20:00,S/D,S/D,S/D,330,0.4
2026/04/03,21:00,S/D,S/D,S/D,353,0.3
2026/04/03,22:00,S/D,S/D,S/D,231,0.1
2026/04/03,23:00,S/D,S/D,S/D,37,0.5
2026/04/04,00:00,S/D,S/D,S/D,19,0.4
2026/04/04,01:00,S/D,S/D,S/D,153,0.7
2026/04/04,02:00,S/D,S/D,S/D,359,0.2
2026/04/04,03:00,S/D,S/D,S/D,56,0.4
2026/04/04,04:00,S/D,S/D,S/D,340,0.2
2026/04/04,05:00,S/D,S/D,S/D,21,0.3
2026/04/04,06:00,S/D,S/D,S/D,316,0.1
2026/04/04,07:00,S/D,S/D,S/D,22,0.2
2026/04/04,08:00,S/D,S/D,S/D,113,1.6
2026/04/04,09:00,S/D,S/D,S/D,126,1.9
2026/04/04,10:00,S/D,S/D,S/D,146,2.0
2026/04/04,11:00,S/D,S/D,S/D,188,2.9
2026/04/04,12:00,S/D,S/D,S/D,89,0.8
2026/04/04,13:00,S/D,S/D,S/D,165,3.8
2026/04/04,14:00,S/D,S/D,S/D,152,3.6
2026/04/04,15:00,S/D,S/D,S/D,290,3.9
2026/04/04,16:00,S/D,S/D,S/D,353,2.7
2026/04/04,17:00,S/D,S/D,S/D,344,4.1
2026/04/04,18:00,S/D,S/D,S/D,359,2.7
2026/04/04,19:00,S/D,S/D,S/D,4,1.7
2026/04/04,20:00,S/D,S/D,S/D,346,0.3
2026/04/04,21:00,S/D,S/D,S/D,38,0.8
2026/04/04,22:00,S/D,S/D,S/D,15,1.4
2026/04/04,23:00,S/D,S/D,S/D,353,0.8
2026/04/05,00:00,S/D,S/D,S/D,63,0.1
2026/04/05,01:00,S/D,S/D,S/D,193,0.2
2026/04/05,02:00,S/D,S/D,S/D,44,0.4
2026/04/05,03:00,S/D,S/D,S/D,16,1.7
2026/04/05,04:00,S/D,S/D,S/D,47,1.5
2026/04/05,05:00,S/D,S/D,S/D,354,1.0
2026/04/05,06:00,S/D,S/D,S/D,324,3.3
2026/04/05,07:00,S/D,S/D,S/D,336,1.7
2026/04/05,08:00,S/D,S/D,S/D,351,1.7
2026/04/05,09:00,S/D,S/D,S/D,321,3.2
2026/04/05,10:00,S/D,S/D,S/D,328,4.5
2026/04/05,11:00,S/D,S/D,S/D,169,2.8
2026/04/05,12:00,S/D,S/D,S/D,109,1.4
2026/04/05,13:00,S/D,S/D,S/D,318,3.2
2026/04/05,14:00,S/D,S/D,S/D,299,1.8
2026/04/05,15:00,S/D,S/D,S/D,204,2.8
2026/04/05,16:00,S/D,S/D,S/D,184,3.6
2026/04/05,17:00,S/D,S/D,S/D,230,1.1
2026/04/05,18:00,S/D,S/D,S/D,305,1.9
2026/04/05,19:00,S/D,S/D,S/D,355,4.1
2026/04/05,20:00,S/D,S/D,S/D,37,0.9
2026/04/05,21:00,S/D,S/D,S/D,218,0.9
2026/04/05,22:00,S/D,S/D,S/D,108,1.4
2026/04/05,23:00,S/D,S/D,S/D,197,2.7
2026/04/06,00:00,S/D,S/D,S/D,192,1.0
2026/04/06,01:00,S/D,S/D,S/D,327,1.3
2026/04/06,02:00,S/D,S/D,S/D,332,2.6
2026/04/06,03:00,S/D,S/D,S/D,264,0.3
2026/04/06,04:00,S/D,S/D,S/D,290,1.4
2026/04/06,05:00,S/D,S/D,S/D,270,1.8
2026/04/06,06:00,S/D,S/D,S/D,317,1.7
2026/04/06,07:00,S/D,S/D,S/D,269,1.4
2026/04/06,08:00,S/D,S/D,S/D,36,1.0
2026/04/06,09:00,S/D,S/D,S/D,20,2.1
2026/04/06,10:00,S/D,S/D,S/D,11,1.2
2026/04/06,11:00,S/D,S/D,S/D,357,1.7
2026/04/06,12:00,S/D,S/D,S/D,347,0.2
2026/04/06,13:00,S/D,S/D,S/D,340,1.9
2026/04/06,14:00,S/D,S/D,S/D,299,1.7
2026/04/06,15:00,S/D,S/D,S/D,329,4.4
2026/04/06,16:00,S/D,S/D,S/D,344,4.0
2026/04/06,17:00,S/D,S/D,S/D,343,2.4
2026/04/06,18:00,S/D,S/D,S/D,357,0.1
2026/04/06,19:00,S/D,S/D,S/D,126,0.8
