Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : FLOR DE PUNGA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,CAPELO
Latitud :,5°24'27.64'',Longitud :,74°9'24.71'',Altitud :,103 msnm.
Tipo :,HLM - Hidrológica,Código :,251100
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-09-01,4.31,4.32,4.32,4.32,4.32
2021-09-02,4.35,4.35,4.35,4.35,4.35
2021-09-03,4.33,4.33,4.33,4.33,4.33
2021-09-04,4.32,4.33,4.34,4.35,4.34
2021-09-05,4.38,4.40,4.42,4.45,4.41
2021-09-06,4.58,4.64,4.70,4.76,4.67
2021-09-07,4.82,4.86,4.93,4.98,4.90
2021-09-08,5.03,5.05,5.06,5.08,5.06
2021-09-09,5.12,5.12,5.12,5.12,5.12
2021-09-10,5.12,5.10,5.09,5.08,5.10
2021-09-11,5.06,5.05,5.02,4.98,5.03
2021-09-12,4.93,4.92,4.91,4.90,4.92
2021-09-13,4.85,4.83,4.81,4.80,4.82
2021-09-14,4.73,4.71,4.69,4.67,4.70
2021-09-15,4.60,4.60,4.60,4.59,4.60
2021-09-16,4.58,4.58,4.59,4.59,4.59
2021-09-17,4.63,4.65,4.67,4.70,4.66
2021-09-18,4.78,4.82,4.85,4.88,4.83
2021-09-19,4.97,4.99,5.02,5.05,5.01
2021-09-20,5.18,5.21,5.25,5.29,5.23
2021-09-21,5.39,5.41,5.45,5.49,5.44
2021-09-22,5.59,5.59,5.60,5.61,5.60
2021-09-23,5.62,5.62,5.63,5.64,5.63
2021-09-24,5.65,5.66,5.68,5.69,5.67
2021-09-25,5.73,5.75,5.78,5.80,5.77
2021-09-26,5.88,5.91,5.94,5.98,5.93
2021-09-27,6.04,6.05,6.06,6.08,6.06
2021-09-28,6.12,6.11,6.10,6.09,6.11
2021-09-29,6.08,6.06,6.05,6.04,6.06
2021-09-30,5.99,5.98,5.97,5.96,5.98
