Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : FLOR DE PUNGA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,CAPELO
Latitud :,5°24'27.64'',Longitud :,74°9'24.71'',Altitud :,103 msnm.
Tipo :,HLM - Hidrológica,Código :,251100
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2019-03-01,21.23,21.23,21.23,21.23,21.23
2019-03-02,21.23,21.23,21.23,21.23,21.23
2019-03-03,21.23,21.23,21.23,21.23,21.23
2019-03-04,21.23,21.23,21.23,21.23,21.23
2019-03-05,21.25,21.25,21.25,21.25,21.25
2019-03-06,21.26,21.26,21.27,21.27,21.27
2019-03-07,21.28,21.28,21.28,21.28,21.28
2019-03-08,21.28,21.28,21.28,21.28,21.28
2019-03-09,21.28,21.28,21.28,21.28,21.28
2019-03-10,21.28,21.28,21.28,21.28,21.28
2019-03-11,21.28,21.29,21.29,21.29,21.29
2019-03-12,21.29,21.29,21.29,21.29,21.29
2019-03-13,21.30,21.30,21.30,21.30,21.30
2019-03-14,21.30,21.30,21.30,21.30,21.30
2019-03-15,21.29,21.31,21.31,21.31,21.31
2019-03-16,21.29,21.29,21.29,21.29,21.29
2019-03-17,21.30,21.30,21.30,21.30,21.30
2019-03-18,21.30,21.30,21.30,21.30,21.30
2019-03-19,21.30,21.30,21.30,21.30,21.30
2019-03-20,21.30,21.30,21.29,21.29,21.30
2019-03-21,21.29,21.29,21.30,21.30,21.30
2019-03-22,21.30,21.30,21.30,21.30,21.30
2019-03-23,21.30,21.30,21.30,21.30,21.30
2019-03-24,21.30,21.30,21.30,21.30,21.30
2019-03-25,21.30,21.30,21.30,21.30,21.30
2019-03-26,21.29,21.29,21.29,21.29,21.29
2019-03-27,21.29,21.29,21.29,21.29,21.29
2019-03-28,21.29,21.29,21.29,21.29,21.29
2019-03-29,21.28,21.28,21.28,21.28,21.28
2019-03-30,21.29,21.29,21.29,21.29,21.29
2019-03-31,21.29,21.29,21.21,21.29,21.27
