Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'48.1'',Longitud :,73°35'1.5'',Altitud :,101 msnm.
Tipo :,CO - Meteorológica,Código :,104056
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-10-01,S/D,S/D,S/D,S/D
2023-10-02,34,23.5,81.8,0.0
2023-10-03,34,24.5,80.2,0.0
2023-10-04,37,25.5,83.2,0.0
2023-10-05,36.8,25.5,81.9,0.0
2023-10-06,36.2,24,79.7,0.0
2023-10-07,35.6,24.5,80.5,-999.0
2023-10-08,S/D,S/D,S/D,S/D
2023-10-09,31,24,87.7,0.0
2023-10-10,34,23.5,83.7,0.0
2023-10-11,35.6,24,82.1,12.4
2023-10-12,36.8,24.5,79.2,1.1
2023-10-13,30.2,24,88.0,0.0
2023-10-14,31.6,22.5,86.8,-999.0
2023-10-15,S/D,S/D,S/D,S/D
2023-10-16,33.8,23,77.8,0.0
2023-10-17,34,24,78.7,0.0
2023-10-18,36.2,24.5,77.7,26.5
2023-10-19,31.8,23.5,77.8,0.0
2023-10-20,26,23.5,87.1,6.4
2023-10-21,31.6,23.5,80.9,-999.0
2023-10-22,S/D,S/D,S/D,S/D
2023-10-23,32.8,23.5,83.4,0.0
2023-10-24,36,25.5,75.5,0.0
2023-10-25,37,24,79.5,0.0
2023-10-26,36.8,24,81.2,0.0
