Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : TIMICURILLO
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'25.38'',Longitud :,73°5'.39'',Altitud :,85 msnm.
Tipo :,HLM - Hidrológica,Código :,240202
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2018-02-01,10.11,10.10,10.09,10.07,10.09
2018-02-02,10.02,9.99,9.98,9.96,9.99
2018-02-03,9.92,9.90,9.89,9.87,9.90
2018-02-04,9.80,9.78,9.75,9.72,9.76
2018-02-05,9.65,9.62,9.60,9.57,9.61
2018-02-06,9.49,9.46,9.44,9.42,9.45
2018-02-07,9.30,9.26,9.22,9.18,9.24
2018-02-08,9.08,9.04,9.01,8.97,9.03
2018-02-09,8.80,8.77,8.74,8.71,8.76
2018-02-10,8.60,8.58,8.56,8.55,8.57
2018-02-11,8.50,8.49,8.48,8.47,8.49
2018-02-12,8.43,8.40,8.38,8.36,8.39
2018-02-13,8.33,8.31,8.30,8.29,8.31
2018-02-14,8.26,8.24,8.21,8.19,8.23
2018-02-15,8.12,8.09,8.07,8.04,8.08
2018-02-16,7.97,7.94,7.91,7.89,7.93
2018-02-17,7.82,7.80,7.77,7.75,7.79
2018-02-18,7.73,7.73,7.73,7.73,7.73
2018-02-19,7.74,7.74,7.75,7.75,7.75
2018-02-20,7.78,7.79,7.80,7.80,7.79
2018-02-21,7.82,7.82,7.82,7.82,7.82
2018-02-22,7.82,7.82,7.82,7.82,7.82
2018-02-23,7.82,7.83,7.83,7.84,7.83
2018-02-24,7.85,7.85,7.85,7.85,7.85
2018-02-25,7.85,7.86,7.87,7.88,7.87
2018-02-26,7.91,7.92,7.94,7.95,7.93
2018-02-27,7.99,7.99,7.99,7.99,7.99
2018-02-28,7.99,7.99,8.01,8.01,8.00
