Estación : TIMICURILLO
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'25.38'',Longitud :,73°5'.39'',Altitud :,85 msnm.
Tipo :,HLM - Hidrológica,Código :,240202
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2018-05-01,10.80,10.81,10.81,10.82,10.81
2018-05-02,10.83,10.84,10.84,10.84,10.84
2018-05-03,10.85,10.85,10.85,10.85,10.85
2018-05-04,10.85,10.86,10.86,10.87,10.86
2018-05-05,10.88,10.89,10.89,10.89,10.89
2018-05-06,10.89,10.89,10.89,10.89,10.89
2018-05-07,10.90,10.96,10.96,10.90,10.93
2018-05-08,10.90,10.90,10.90,10.90,10.90
2018-05-09,10.90,10.88,10.88,10.87,10.88
2018-05-10,10.83,10.83,10.83,10.82,10.83
2018-05-11,10.79,10.78,10.78,10.78,10.78
2018-05-12,10.77,10.76,10.76,10.76,10.76
2018-05-13,10.75,10.75,10.75,10.74,10.75
2018-05-14,10.74,10.73,10.73,10.72,10.73
2018-05-15,10.70,10.70,10.70,10.69,10.70
2018-05-16,10.69,10.69,10.69,10.69,10.69
2018-05-17,10.69,10.69,10.69,10.69,10.69
2018-05-18,10.69,10.69,10.69,10.69,10.69
